root_name,root_id,position_1_x,position_1_y,position_2_x,position_2_y,position_3_x,position_3_y,second,minor_third,third,fourth,fifth,flat_fifth,sharp_fifth,sixth,minor_seventh,major_seventh,octive,ninth,sharp_ninth,eleventh,thirteenth
a,a3,101,545,108,397,0,0,b3,c3,c#/db3,d3,e4,d#/eb3,0,0,0,0,0,0,0,0,0
a#/bb,a#/bb1,58,430,59,247,0,0,c1,c#/db1,d1,d#/eb1,f2,e2,f#/gb2,g2,g#/ab2,a2,a#/bb2,c2,c#/db2,d#/eb2,g3
a#/bb,a#/bb2,78,491,87,325,0,0,c2,c#/db2,d2,d#/eb2,f3,e3,f#/gb3,g3,g#/ab3,a3,a#/bb3,c3,c#/db3,d#/eb3,0
a#/bb,a#/bb3,102,569,58,430,0,0,c3,c#/db3,d3,d#/eb3,0,e4,0,0,0,0,0,0,0,0,0
b,b1,58,461,68,286,0,0,c#/db1,d1,d#/eb1,e2,f#/gb2,f2,g2,g#/ab2,a2,a#/bb2,b2,c#/db2,d2,e3,g#/ab3
b,b2,78,519,87,362,95,208,c#/db2,d2,d#/eb2,e3,f#/gb3,f3,g3,g#/ab3,a3,a#/bb3,b3,c#/db3,d3,e4,0
b,b3,102,595,110,461,0,0,c#/db3,d3,d#/eb3,e4,0,0,0,0,0,a#/bb0,0,0,0,0,0
c,c1,58,491,68,325,0,0,d1,d#/eb1,e2,f1,g1,f#/gb1,g#/ab1,a1,a#/bb1,b1,c2,d2,d#/eb2,f2,a2
c,c2,79,545,88,397,95,247,d2,d#/eb2,e3,f2,g2,f#/gb2,g#/ab2,a2,a#/bb2,b2,c3,d3,d#/eb3,f3,a3
c,c3,110,491,0,0,0,0,d3,d#/eb3,e4,f3,g3,f#/gb3,g#/ab3,a3,a#/bb3,b3,0,0,0,0,0
c#/db,c#/db1,58,519,68,362,0,0,d#/eb1,e2,f1,f#/gb1,g#/ab1,g1,a1,a#/bb1,b1,c1,c#/db2,d#/eb2,e3,f#/gb2,a#/bb2
c#/db,c#/db2,79,569,88,430,95,286,d#/eb2,e3,f2,f#/gb2,g#/ab2,g2,a2,a#/bb2,b2,c2,c#/db3,d#/eb3,e4,f#/gb3,a#/bb3
c#/db,c#/db3,111,519,0,0,0,0,d#/eb3,e4,f3,f#/gb3,g#/ab3,g3,a3,a#/bb3,b3,c3,0,0,0,0,0
d,d1,58,545,68,397,77,208,e2,f2,f#/gb2,g2,a2,g#/ab2,a#/bb2,b2,c2,c#/db2,d2,e3,f3,g3,b3
d,d2,79,595,89,461,95,325,e3,f3,f#/gb3,g3,a3,g#/ab3,a#/bb3,b3,c3,c#/db3,d3,e4,0,0,0
d,d3,112,545,0,0,0,0,e4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d#/eb,d#/eb1,58,569,68,430,77,247,f2,f#/gb2,g2,g#/ab2,a#/bb2,a2,b2,c2,c#/db2,d2,d#/eb2,f3,f#/gb3,g#/ab3,c3
d#/eb,d#/eb2,89,491,97,362,0,0,f3,f#/gb3,g3,g#/ab3,a#/bb3,a3,b3,c3,c#/db3,d3,d#/eb3,0,0,0,0
d#/eb,d#/eb3,112,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
